PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
20102709|1505130|"CITRA PEARLY WHITE UV TONE UP LOTION  TUB 180mL"|-167|0|0|0|0|0|0|0|-167
20102703|1505140|"SAHAJA PEMBERSIH LANTAI KNTUM BUNGA JRK PCH 350mL"|-68|0|0|0|0|0|0|0|-68
20112743|1506800|"PONDS SERUM WHIP FACIAL FOAM BRIGHT BEAUTY TUB 100g"|-337|72|0|0|0|75|0|0|-340
20103330|1508240|"LIFEBUOY HAND SANITIZER SKIN IMMUNITY TOTAL 10 BTL 90mL"|0|0|0|0|0|0|0|0|0
20104003|1509280|"RINSO DETERJEN MATIC+MOLTO  BAG 2kg"|-1|12|0|0|0|20|0|0|-9
20094961|1510860|"WIPOL PEMBERSIH LANTAI REF LEMON PINE PCH 220/200mL"|-3292|0|0|0|0|66|0|0|-3358
20095012|1511640|"BANGO BUMBU NASI GORENG KAMBING PCK 40g"|-56|0|0|0|0|132|0|0|-188
20095013|1511660|"BANGO BUMBU SOTO BETAWI  PCK 45g"|-313|0|0|0|0|100|0|0|-413
20095015|1511690|"BANGO BUMBU OPOR AYAM KHAS CEPU  PCK 35g"|-723|96|0|0|0|91|0|0|-718
20076432|1514560|"SUNSILK SHAMPOO HIJAB REFRESH BTL 340mL"|-98|72|0|0|0|45|0|0|-71
20088631|1516220|"CLOSE UP PASTA GIGI WHITE ATTRACTION NATURAL SMILE TUB 100g"|-305|0|0|0|0|40|0|0|-345
20048546|1518040|"HEMAVITON HEALTH DRINK VITAMIN C1000 ORANGE KLG 330mL"|-1172|0|160|0|0|60|0|0|-1072
10031393|1521420|"ROYCO SUP KRIM (19144) JAGUNG PCK 50g"|-33|48|0|0|0|37|0|0|-22
20116901|1521990|"IPI VITAMIN C JERUK BTL 90'S"|-27|0|0|0|0|3|0|0|-30
20122296|1522360|"PONDS AGE MIRACLE SERUM ULTIMATE YOUTH PCS 7g"|-543|0|0|0|0|38|0|0|-581
20122347|1522470|"DOWNY SOFTENER ADORABL BOUQUET PCH 900mL"|-45|0|0|0|0|49|0|0|-94
20095140|1523930|"PANTENE SHAMPOO HIJAB ANTI DANDRUFF BTL 135mL"|-237|0|0|0|0|0|0|0|-237
20095139|1523940|"PANTENE SHAMPOO HIJAB HAIR FALL CNTRL BTL 135mL"|-182|0|0|0|0|0|0|0|-182
20094326|1524900|"WIPOL PEMBERSIH LANTAI REF CLASSIC PINE PCH 220/200mL"|-2309|576|0|0|0|215|0|0|-1948
