DOCNO|PICNO|PICTGL|PRDCD|SJ_QTY|PRICE|PPNRP|HPP|KETER|TANGGAL1|TANGGAL2|DOCNO2|DUS_NO|PPN_RATE
2205240786|0|24-05-2022|20052334|3|7500.000000000|2475.000000000|7500.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20052331|3|7300.000000000|2409.000000000|7300.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20052330|3|7300.000000000|2409.000000000|7300.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20087560|2|9000.000000000|1980.000000000|9000.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20087559|1|9400.000000000|1034.000000000|9400.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20090334|1|9000.000000000|990.000000000|9000.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20090824|1|13000.000000000|1430.000000000|13000.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20103803|2|14500.000000000|3190.000000000|14500.000000000||24-05-2022|23-05-2022|2205240786||11
2205240786|0|24-05-2022|20107725|2|14500.000000000|3190.000000000|14500.000000000||24-05-2022|23-05-2022|2205240786||11
